trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,frameRate,expName,session,participant,
44,0,44,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
45,0,45,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
46,0,46,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
47,0,47,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
48,0,48,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
49,0,49,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
50,0,50,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
51,0,51,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
52,0,52,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
53,0,53,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
54,0,54,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
55,0,55,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
56,0,56,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
57,0,57,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
58,0,58,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
59,0,59,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
60,0,60,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
61,0,61,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
62,0,62,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
63,0,63,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
64,0,64,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
65,0,65,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
66,0,66,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
67,0,67,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
68,0,68,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
69,0,69,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
70,0,70,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
71,0,71,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
72,0,72,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
73,0,73,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
74,0,74,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
75,0,75,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
76,0,76,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
77,0,77,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
78,0,78,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
79,0,79,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
80,0,80,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
81,0,81,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
82,0,82,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
83,0,83,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
84,0,84,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
85,0,85,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
86,0,86,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
87,0,87,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
88,0,88,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
89,0,89,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
90,0,90,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
91,0,91,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
92,0,92,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
93,0,93,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
94,0,94,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
95,0,95,0,2017_Jul_05_1402,59.9683734245,untitled,001,,
