freq,ori,sf,pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,date,Run,expName,participant,frameRate,
1,135,0.03,"[0, 0]",6,3,51,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",6,4,52,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",6,5,53,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,270,0.03,"[0, 0]",6,6,54,6,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,315,0.03,"[0, 0]",6,7,55,7,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,0,0.03,"[0, 0]",7,0,56,0,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,45,0.03,"[0, 0]",7,1,57,1,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,90,0.03,"[0, 0]",7,2,58,2,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,135,0.03,"[0, 0]",7,3,59,3,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,180,0.03,"[0, 0]",7,4,60,4,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
1,225,0.03,"[0, 0]",7,5,61,5,2017_Sep_18_1450,Run2,Grating_Full,BMWT70,60.0077257141,
